epoch;Total;Inst;pulse
1740975960;3084;;
1740976020;3135;;
1740976080;3135;;
1740976140;3135;;
1740976200;3135;;
1740976260;3135;;
1740976320;3135;;
1740976380;3135;;
1740976440;3135;;
1740976500;3135;;
1740976560;3135;;
1740976620;3135;;
1740976680;3135;;
1740976740;3135;;
1740976800;3135;;
1740976860;3135;;
1740976920;3135;;
1740976980;3135;;
1740977040;3135;;
1740977100;3135;;
1740977160;3135;;
1740977220;3135;;
1740977280;3135;;
1740977340;3356;;
1740977400;3356;;
1740977460;3356;;
1740977520;3356;;
1740977580;3356;;
1740977640;3356;;
1740977700;3356;;
1740977760;0;;
1740977820;799;;
1740977880;799;;
1740977940;799;;
1740978000;900;;
1740978060;900;;
1740978120;0;;
1740978180;0;;
1740978240;0;;
1740978300;0;;
1740978360;0;;
1740978420;0;;
1740978480;0;;
1740978540;0;;
1740978600;0;;
1740978660;0;;
1740978720;0;;
1740978780;0;;
1740978840;0;;
1740978900;0;;
1740979020;0;;
1740979080;1952;;
1740979140;1952;;
1740979260;1952;;
1740979320;1952;;
1740979380;1952;;
1740979440;0;;
1740979500;714;;
1740979560;1346;;
1740979620;1346;;
1740979680;1346;;
1740979740;1346;;
1740979800;1346;;
1740979860;1346;;
1740979920;1346;;
1740979980;2613;;
1740980040;2647;;
1740980100;2647;;
1740980160;2647;;
1740980220;2647;;
1740980280;2800;;
1740980340;3691;;
1740980400;4305;;
1740980460;4305;;
1740980520;4305;;
1740980580;4305;;
1740980640;4305;;
1740980700;4305;;
1740980760;4305;;
1740980820;4305;;
1740980880;4305;;
1740980940;4390;;
1740981000;4424;;
1740981060;4611;;
1740981120;4611;;
1740981180;5104;;
1740981240;5104;;
1740981300;5104;;
1740981360;5104;;
1740981420;5104;;
1740981480;5104;;
1740981540;5104;;
1740981600;5121;;
1740981660;5121;;
